Time	DISPLACEMENT_Y	Coupling_Iterations	
0.05	0.0	1	
0.1	1.3381016688711202e-11	1	
0.15000000000000002	7.359408920781662e-11	1	
0.2	2.2958904754647253e-10	1	
0.25	5.33448204468287e-10	1	
0.3	1.0232622011988564e-09	1	
0.35	1.7035982686679281e-09	1	
0.39999999999999997	2.5261176668767556e-09	1	
0.44999999999999996	3.3730725219759635e-09	1	
0.49999999999999994	4.046253030277957e-09	1	
0.5499999999999999	4.263833012258105e-09	1	
0.6	3.667872407838532e-09	1	
0.65	1.8457219700808085e-09	1	
0.7000000000000001	-1.6317716573952612e-09	1	
0.7500000000000001	-7.154991391349274e-09	1	
0.8000000000000002	-1.5008119775855686e-08	1	
0.8500000000000002	-2.5300597274297455e-08	1	
0.9000000000000002	-3.791274422453344e-08	1	
0.9500000000000003	-5.2470700657448085e-08	1	
1.0000000000000002	-6.83609014284278e-08	1	
1.0500000000000003	-8.478616355994397e-08	1	
1.1000000000000003	-1.0085690169484192e-07	1	
1.1500000000000004	-1.1570475923248466e-07	1	
1.2000000000000004	-1.286032173979956e-07	1	
1.2500000000000004	-1.390801548443922e-07	1	
1.3000000000000005	-1.4700938363194868e-07	1	
1.3500000000000005	-1.5267022525346204e-07	1	
1.4000000000000006	-1.5676543826138507e-07	1	
1.4500000000000006	-1.6038897286907306e-07	1	
1.5000000000000007	-1.649378710041313e-07	1	
1.5500000000000007	-1.719689412497728e-07	1	
1.6000000000000008	-1.830108930199007e-07	1	
1.6500000000000008	-1.993544064745573e-07	1	
1.7000000000000008	-2.21852407773188e-07	1	
1.7500000000000009	-2.5076667225468657e-07	1	
1.800000000000001	-2.8569246214175096e-07	1	
1.850000000000001	-3.2558063540305963e-07	1	
1.900000000000001	-3.688595219603251e-07	1	
1.950000000000001	-4.1364112269001605e-07	1	
2.000000000000001	-4.5798185648876346e-07	1	
2.0500000000000007	-5.001596072469838e-07	1	
2.1000000000000005	-5.389268911172348e-07	1	
2.1500000000000004	-5.737039108994817e-07	1	
2.2	-6.046837217890565e-07	1	
2.25	-6.328333315480284e-07	1	
2.3	-6.597880946751962e-07	1	
2.3499999999999996	-6.876510486919877e-07	1	
2.3999999999999995	-7.187224342218876e-07	1	
2.4499999999999993	-7.5519565183757e-07	1	
2.499999999999999	-7.988622940597713e-07	1	
2.549999999999999	-8.508690043576049e-07	1	
2.5999999999999988	-9.11562093682592e-07	1	
2.6499999999999986	-9.804429346339153e-07	1	
2.6999999999999984	-1.05624038336375e-06	1	
2.7499999999999982	-1.1370889013126671e-06	1	
2.799999999999998	-1.220785753599938e-06	1	
2.849999999999998	-1.305090027774866e-06	1	
2.8999999999999977	-1.3880214905896636e-06	1	
2.9499999999999975	-1.4681186792735839e-06	1	
2.9999999999999973	-1.5446224251945592e-06	1	
3.049999999999997	-1.6175620145855133e-06	1	
3.099999999999997	-1.6877337830252236e-06	1	
3.149999999999997	-1.756573462173089e-06	1	
3.1999999999999966	-1.825936168866024e-06	1	
3.2499999999999964	-1.8978301898490008e-06	1	
3.2999999999999963	-1.9741436105230533e-06	1	
3.349999999999996	-2.05639473597542e-06	1	
3.399999999999996	-2.1455344769750346e-06	1	
3.4499999999999957	-2.2418180104476884e-06	1	
3.4999999999999956	-2.3447730859753344e-06	1	
3.5499999999999954	-2.4532751516815647e-06	1	
3.599999999999995	-2.5657157861220953e-06	1	
3.649999999999995	-2.6802346508275977e-06	1	
3.699999999999995	-2.794977017581201e-06	1	
3.7499999999999947	-2.9083384177953547e-06	1	
3.7999999999999945	-3.019164063093077e-06	1	
3.8499999999999943	-3.1268782119859196e-06	1	
3.899999999999994	-3.231529504478627e-06	1	
