# Body fitted drag for model part FluidModelPart.Drag_InterfaceFluid
# Time Fx Fy Fz
0.05 -0.00000000 -0.00000000 -0.00000000
0.1 41831.67850172 -23931.04120662 -0.00000000
0.15000000000000002 98645.28342182 -56385.55794210 -0.00000000
0.2 165076.32388602 -94037.48322643 -0.00000000
0.25 235057.18063413 -133214.01614030 -0.00000000
0.3 302100.88057225 -170218.50598670 -0.00000000
0.35 359716.51108115 -201644.32228517 -0.00000000
0.39999999999999997 402024.82886712 -224670.53186272 -0.00000000
0.44999999999999996 424515.40412571 -237320.75397156 -0.00000000
0.49999999999999994 424791.63680250 -238659.17927583 -0.00000000
0.5499999999999999 403105.01017491 -228894.54797717 -0.00000000
0.6 362499.81183935 -209366.54675707 -0.00000000
0.65 308474.90453659 -182401.75411552 -0.00000000
0.7000000000000001 248196.08535652 -151047.13419472 -0.00000000
0.7500000000000001 189413.22375577 -118712.97712771 -0.00000000
0.8000000000000002 139313.92825493 -88777.12806162 -0.00000000
0.8500000000000002 103542.26105314 -64207.16526651 -0.00000000
0.9000000000000002 85545.04796222 -47253.61929448 -0.00000000
0.9500000000000003 86309.08759550 -39247.88203797 -0.00000000
1.0000000000000002 104460.01518550 -40518.24335945 -0.00000000
1.0500000000000003 136637.07927849 -50419.10195255 -0.00000000
1.1000000000000003 178044.36114703 -67456.33511755 -0.00000000
1.1500000000000004 223095.29470492 -89486.12053072 -0.00000000
1.2000000000000004 266090.75941186 -113963.04914053 -0.00000000
1.2500000000000004 301883.09013483 -138213.51173718 -0.00000000
1.3000000000000005 326473.77148448 -159710.35240051 -0.00000000
1.3500000000000005 337480.11020154 -176324.53947669 -0.00000000
1.4000000000000006 334401.30288783 -186530.25607272 -0.00000000
1.4500000000000006 318629.35598838 -189542.78532669 -0.00000000
1.5000000000000007 293187.71931774 -185374.58751819 -0.00000000
1.5500000000000007 262231.57705316 -174803.68773960 -0.00000000
1.6000000000000008 230393.25856099 -159258.71331363 -0.00000000
1.6500000000000008 202087.77161533 -140635.09868543 -0.00000000
1.7000000000000008 180897.62211253 -121065.53461618 -0.00000000
1.7500000000000009 169132.47915965 -102673.26291648 -0.00000000
1.800000000000001 167617.07156518 -87338.27489855 -0.00000000
1.850000000000001 175713.68836764 -76503.52247255 -0.00000000
1.900000000000001 191546.35632900 -71041.49159075 -0.00000000
1.950000000000001 212369.20572356 -71192.35365562 -0.00000000
2.000000000000001 235012.16737536 -76575.24728014 -0.00000000
2.0500000000000007 256339.03098422 -86265.69899432 -0.00000000
2.1000000000000005 273660.90878443 -98925.83994675 -0.00000000
2.1500000000000004 285059.02980676 -112970.16761526 -0.00000000
2.2 289583.34852155 -126747.89734676 -0.00000000
2.25 287308.34687794 -138722.92388017 -0.00000000
2.3 279244.98589956 -147633.64957210 -0.00000000
2.3499999999999996 267127.01617258 -152617.26981725 -0.00000000
2.3999999999999995 253108.07255489 -153286.58374422 -0.00000000
2.4499999999999993 239419.29483946 -149752.07018564 -0.00000000
2.499999999999999 228041.80162312 -142587.65585940 -0.00000000
2.549999999999999 220442.75317075 -132744.94795195 -0.00000000
2.5999999999999988 217410.60696792 -121427.17629720 -0.00000000
2.6499999999999986 219006.68152450 -109939.28067025 -0.00000000
2.6999999999999984 224625.93370820 -99532.55755714 -0.00000000
2.7499999999999982 233152.82550193 -91264.02201467 -0.00000000
2.799999999999998 243172.11650875 -85885.46130110 -0.00000000
2.849999999999998 253196.14601987 -83774.02104927 -0.00000000
2.8999999999999977 261885.12312071 -84911.64575572 -0.00000000
2.9499999999999975 268222.46767306 -88910.42130371 -0.00000000
2.9999999999999973 271626.91573423 -95078.05441062 -0.00000000
3.049999999999997 271993.39206864 -102513.69206511 -0.00000000
3.099999999999997 269663.72568979 -110221.61925079 -0.00000000
3.149999999999997 265336.73507193 -117229.37041977 -0.00000000
3.1999999999999966 259934.81605295 -122697.22906920 -0.00000000
3.2499999999999964 254449.29364556 -126007.59740389 -0.00000000
3.2999999999999963 249788.72709572 -126825.18621163 -0.00000000
3.349999999999996 246652.51984517 -125122.24519820 -0.00000000
