# Body fitted drag for model part FluidModelPart.Drag_structure
# Time Fx Fy Fz
0.1 1171.28769761 0.13382682 -0.00000000
0.15000000000000002 2738.96343051 0.37856893 -0.00000000
0.2 4559.94736088 0.67163185 -0.00000000
0.25 6473.65863640 0.93080684 -0.00000000
0.3 8313.72097907 1.06115969 -0.00000000
0.35 9917.23341675 0.96332711 -0.00000000
0.39999999999999997 11137.45031388 0.54635505 -0.00000000
0.44999999999999996 11859.68288233 -0.25973729 -0.00000000
0.49999999999999994 12145.92405598 -2.96836899 -0.00000000
0.5499999999999999 10911.07900173 -7.76149033 -0.00000000
0.6 8698.56400887 -11.43837358 -0.00000000
0.65 6366.12759518 -12.72769790 -0.00000000
0.7000000000000001 4662.49014588 -11.03957733 -0.00000000
0.7500000000000001 3980.95678713 -6.81357563 -0.00000000
0.8000000000000002 4325.46234468 -1.45533675 -0.00000000
0.8500000000000002 5387.82224129 3.16529471 -0.00000000
0.9000000000000002 6705.73622481 5.39201270 -0.00000000
0.9500000000000003 7829.40282954 4.32055206 -0.00000000
1.0000000000000002 8453.94198330 0.05737639 -0.00000000
1.0500000000000003 8488.11510605 -6.29640746 -0.00000000
1.1000000000000003 8046.15270857 -12.91849243 -0.00000000
1.1500000000000004 7373.60729120 -17.79852065 -0.00000000
1.2000000000000004 6741.75809250 -19.43853754 -0.00000000
1.2500000000000004 6353.28914153 -17.45469418 -0.00000000
1.3000000000000005 6314.93818298 -14.21408939 -0.00000000
1.3500000000000005 6464.63814757 -10.03641571 -0.00000000
1.4000000000000006 6624.74225824 -7.94760065 -0.00000000
1.4500000000000006 6841.80779071 -6.20463906 -0.00000000
1.5000000000000007 7095.19346486 -5.16592637 -0.00000000
1.5500000000000007 7351.57716089 -5.09923105 -0.00000000
1.6000000000000008 7583.91101469 -6.17971444 -0.00000000
1.6500000000000008 7769.08339194 -8.45301927 -0.00000000
1.7000000000000008 7892.18485909 -11.82833721 -0.00000000
1.7500000000000009 7947.59679036 -16.08186942 -0.00000000
1.800000000000001 7939.08608563 -20.87778163 -0.00000000
1.850000000000001 7878.59704238 -25.80517849 -0.00000000
1.900000000000001 7784.01199966 -30.42795089 -0.00000000
1.950000000000001 7676.26972937 -34.34196187 -0.00000000
2.000000000000001 7576.30160700 -37.23171586 -0.00000000
2.0500000000000007 7502.23648881 -38.91760057 -0.00000000
2.1000000000000005 7467.24508941 -39.38570738 -0.00000000
2.1500000000000004 7478.26488668 -38.79455250 -0.00000000
2.2 7535.69603509 -37.45683063 -0.00000000
2.25 7709.83173939 -34.07243820 -0.00000000
2.3 7896.11370372 -31.47486917 -0.00000000
2.3499999999999996 8066.50906152 -30.77592795 -0.00000000
2.3999999999999995 8198.32614211 -32.73160759 -0.00000000
2.4499999999999993 8285.43489761 -37.40517867 -0.00000000
2.499999999999999 8332.43481321 -44.17269221 -0.00000000
2.549999999999999 8351.71665023 -51.87928714 -0.00000000
2.5999999999999988 8358.17539423 -59.16308406 -0.00000000
2.6499999999999986 8365.22864032 -64.83188796 -0.00000000
2.6999999999999984 8382.59646841 -68.18322419 -0.00000000
2.7499999999999982 8415.78917664 -69.17474727 -0.00000000
2.799999999999998 8466.68029340 -68.40106743 -0.00000000
2.849999999999998 8508.45280306 -67.77597531 -0.00000000
2.8999999999999977 8570.33092952 -67.27704460 -0.00000000
2.9499999999999975 8648.58841979 -67.44453811 -0.00000000
2.9999999999999973 8742.30027851 -68.58871205 -0.00000000
3.049999999999997 8845.94020597 -70.91448852 -0.00000000
3.099999999999997 8954.28935242 -74.42676328 -0.00000000
3.149999999999997 9061.63341059 -78.94083046 -0.00000000
3.1999999999999966 9162.74086131 -84.12265278 -0.00000000
3.2499999999999964 9253.84634829 -89.72752516 -0.00000000
3.2999999999999963 9332.90552500 -95.51238815 -0.00000000
3.349999999999996 9399.83677632 -101.23019578 -0.00000000
3.399999999999996 9456.41972767 -106.62004844 -0.00000000
3.4499999999999957 9505.91560521 -111.40352582 -0.00000000
3.4999999999999956 9552.48048369 -115.47450532 -0.00000000
3.5499999999999954 9600.44463994 -118.86510414 -0.00000000
3.599999999999995 9653.61342913 -121.69885389 -0.00000000
3.649999999999995 9714.70867399 -124.15095090 -0.00000000
3.699999999999995 9785.02567554 -126.41688475 -0.00000000
3.7499999999999947 9864.35982301 -128.69386416 -0.00000000
3.7999999999999945 10013.99573596 -133.02485496 -0.00000000
3.8499999999999943 10131.30614800 -136.44953364 -0.00000000
3.899999999999994 10213.03185061 -139.51449831 -0.00000000
3.949999999999994 10269.98006152 -143.25782741 -0.00000000
3.999999999999994 10324.87693506 -150.08596721 -0.00000000
4.049999999999994 10383.07343575 -157.40070603 -0.00000000
4.099999999999993 10435.88857362 -163.41046763 -0.00000000
4.149999999999993 10500.48398162 -168.26349881 -0.00000000
4.199999999999993 10572.16532777 -171.90398370 -0.00000000
4.249999999999993 10650.03323861 -174.98936781 -0.00000000
4.299999999999993 10731.67429296 -178.25728340 -0.00000000
4.3499999999999925 10815.26138473 -182.26654323 -0.00000000
4.399999999999992 10899.26279462 -187.20853379 -0.00000000
4.449999999999992 10982.21269988 -192.90922670 -0.00000000
4.499999999999992 11046.51375172 -197.37415850 -0.00000000
4.549999999999992 11112.43221331 -202.44421857 -0.00000000
4.599999999999992 11196.06170931 -208.82646838 -0.00000000
4.6499999999999915 11282.02292396 -215.17198847 -0.00000000
4.699999999999991 11334.66104286 -218.26030695 -0.00000000
4.749999999999991 11401.54504600 -222.17203589 -0.00000000
4.799999999999991 11484.71375285 -227.24881977 -0.00000000
4.849999999999991 11579.11577589 -233.16250694 -0.00000000
4.899999999999991 11680.75271608 -239.68124731 -0.00000000
4.94999999999999 11783.63987281 -246.43067688 -0.00000000
4.99999999999999 11882.55926878 -253.12248350 -0.00000000
5.04999999999999 11973.88637992 -259.58887743 -0.00000000
5.09999999999999 12056.28115416 -265.79436552 -0.00000000
5.14999999999999 12130.75389176 -271.80593015 -0.00000000
5.1999999999999895 12200.15533720 -277.74233676 -0.00000000
5.249999999999989 12268.26978490 -283.72269333 -0.00000000
5.299999999999989 12338.78174261 -289.82964231 -0.00000000
5.349999999999989 12414.39538740 -296.09429165 -0.00000000
5.399999999999989 12496.31474671 -302.50154850 -0.00000000
5.449999999999989 12584.17265900 -309.00901329 -0.00000000
5.4999999999999885 12676.36593300 -315.57085539 -0.00000000
5.549999999999988 12770.65249977 -322.15821213 -0.00000000
5.599999999999988 12864.82218036 -328.76322544 -0.00000000
5.649999999999988 12957.26203480 -335.38062500 -0.00000000
5.699999999999988 13047.27634878 -341.99445409 -0.00000000
5.749999999999988 13135.10803440 -348.58253257 -0.00000000
5.799999999999987 13221.71018579 -355.12401804 -0.00000000
5.849999999999987 13308.37346954 -361.60379822 -0.00000000
5.899999999999987 13396.33233378 -368.01381010 -0.00000000
5.949999999999987 13486.45811501 -374.35280500 -0.00000000
5.999999999999987 13579.10839597 -380.62716514 -0.00000000
6.0499999999999865 13674.15738402 -386.85809091 -0.00000000
6.099999999999986 13771.17385507 -393.09624885 -0.00000000
6.149999999999986 13869.53671249 -399.38344921 -0.00000000
6.199999999999986 13968.50742080 -405.69144031 -0.00000000
6.249999999999986 14067.47508927 -411.94874494 -0.00000000
6.299999999999986 14166.12679010 -418.07118352 -0.00000000
6.349999999999985 14264.48180583 -423.97680993 -0.00000000
6.399999999999985 14362.82784070 -429.59525054 -0.00000000
6.449999999999985 14461.60159467 -434.87540159 -0.00000000
6.499999999999985 14561.25951366 -439.79232366 -0.00000000
6.549999999999985 14662.17633494 -444.34696437 -0.00000000
6.5999999999999845 14764.57849634 -448.55614839 -0.00000000
6.649999999999984 14868.51935637 -452.44687851 -0.00000000
6.699999999999984 14973.90600385 -456.05229106 -0.00000000
6.749999999999984 15080.55968880 -459.40539947 -0.00000000
6.799999999999984 15188.28447226 -462.53192411 -0.00000000
6.849999999999984 15296.92417693 -465.44388437 -0.00000000
6.8999999999999835 15406.39532175 -468.13546667 -0.00000000
6.949999999999983 15516.69366891 -470.58210094 -0.00000000
6.999999999999983 15627.87901036 -472.74298861 -0.00000000
7.049999999999983 15740.04764365 -474.56658322 -0.00000000
7.099999999999983 15853.30288168 -475.99783353 -0.00000000
7.149999999999983 15967.73185426 -476.98563960 -0.00000000
7.199999999999982 16083.39306725 -477.48897462 -0.00000000
7.249999999999982 16279.54530695 -478.64428096 -0.00000000
7.299999999999982 16397.54771207 -479.78061523 -0.00000000
7.349999999999982 16462.43926321 -479.47457978 -0.00000000
7.399999999999982 16519.14010735 -477.86726361 -0.00000000
7.4499999999999815 16600.77534967 -474.81227998 -0.00000000
7.499999999999981 16719.65113554 -470.79415050 -0.00000000
7.549999999999981 16866.78796639 -466.41309794 -0.00000000
7.599999999999981 17023.06023154 -462.13902779 -0.00000000
7.649999999999981 17171.61770355 -458.10438927 -0.00000000
7.699999999999981 17305.28719859 -454.09113691 -0.00000000
7.7499999999999805 17426.89267586 -449.67407217 -0.00000000
7.79999999999998 17544.63230903 -444.42029693 -0.00000000
7.84999999999998 17666.40151894 -438.04727861 -0.00000000
7.89999999999998 17796.17477261 -430.48773056 -0.00000000
7.94999999999998 17879.77718166 -424.83517086 -0.00000000
7.99999999999998 17999.61104506 -416.16730477 -0.00000000
8.04999999999998 18156.79992872 -405.18755020 -0.00000000
8.09999999999998 18338.45035254 -392.21113905 -0.00000000
8.14999999999998 18529.63017856 -378.33868481 -0.00000000
