# Body fitted drag for model part FluidModelPart.Drag_InterfaceFluid
# Time Fx Fy Fz
0.1 40977.96959888 -23442.65272409 -0.00000000
0.15000000000000002 96632.11183438 -55234.83253465 -0.00000000
0.2 161707.41166154 -92118.35235235 -0.00000000
0.25 230260.08406591 -130495.36497073 -0.00000000
0.3 295935.54387155 -166744.66136327 -0.00000000
0.35 352375.34633763 -197529.13414329 -0.00000000
0.39999999999999997 393820.23273120 -220085.42036033 -0.00000000
0.44999999999999996 415851.81891415 -232477.47407744 -0.00000000
0.49999999999999994 416122.42031311 -233788.58369471 -0.00000000
0.5499999999999999 394878.38600866 -224223.22955929 -0.00000000
0.6 355101.87497500 -205093.75804030 -0.00000000
0.65 302179.52535866 -178679.26649150 -0.00000000
0.7000000000000001 243130.89122013 -147964.53621140 -0.00000000
0.7500000000000001 185547.67985075 -116290.25963922 -0.00000000
0.8000000000000002 136470.81333580 -86965.34632837 -0.00000000
0.8500000000000002 101429.16943447 -62896.81172220 -0.00000000
0.9000000000000002 83799.23188740 -46289.25717382 -0.00000000
0.9500000000000003 84547.66039354 -38446.90341205 -0.00000000
1.0000000000000002 102328.14913108 -39691.34063546 -0.00000000
1.0500000000000003 133848.53215648 -49390.14220208 -0.00000000
1.1000000000000003 174410.76443078 -66079.67761281 -0.00000000
1.1500000000000004 218542.29444181 -87659.87599320 -0.00000000
1.2000000000000004 260660.30727405 -111637.27614997 -0.00000000
1.2500000000000004 295722.19412716 -135392.83182657 -0.00000000
1.3000000000000005 319811.04084679 -156450.96155743 -0.00000000
1.3500000000000005 330592.77808925 -172726.08314437 -0.00000000
1.4000000000000006 327576.81888698 -182723.51880647 -0.00000000
1.4500000000000006 312126.76170981 -185674.56636863 -0.00000000
1.5000000000000007 287204.34415029 -181591.43233780 -0.00000000
1.5500000000000007 256879.95404221 -171236.26417709 -0.00000000
1.6000000000000008 225691.38479538 -156008.53317743 -0.00000000
1.6500000000000008 197963.54377623 -137764.99135200 -0.00000000
1.7000000000000008 177205.82717244 -118594.80544564 -0.00000000
1.7500000000000009 165680.77087941 -100577.88614819 -0.00000000
1.800000000000001 164196.27553819 -85555.85757960 -0.00000000
1.850000000000001 172127.64728508 -74942.22344746 -0.00000000
1.900000000000001 187637.19950986 -69591.66372990 -0.00000000
1.950000000000001 208035.09950868 -69739.44869434 -0.00000000
2.000000000000001 230215.97684256 -75012.48864004 -0.00000000
2.0500000000000007 251107.61614337 -84505.17700174 -0.00000000
2.1000000000000005 268076.00442142 -96906.94839273 -0.00000000
2.1500000000000004 279241.52802505 -110664.65729533 -0.00000000
2.2 283673.52674232 -124161.20854122 -0.00000000
2.25 281444.95990916 -135891.84604793 -0.00000000
2.3 273546.15561226 -144620.71913349 -0.00000000
2.3499999999999996 261675.48204691 -149502.63156012 -0.00000000
2.3999999999999995 247942.62368259 -150158.28482546 -0.00000000
2.4499999999999993 234533.18830269 -146695.90323020 -0.00000000
2.499999999999999 223387.87079477 -139677.70106019 -0.00000000
2.549999999999999 215943.88965276 -130035.86485305 -0.00000000
2.5999999999999988 212973.61409647 -118949.06882354 -0.00000000
2.6499999999999986 214537.11408294 -107695.62085696 -0.00000000
2.6999999999999984 220041.69121878 -97501.28089978 -0.00000000
